,Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Overtime,FTR,Situation,Min,Period,Quarter,Year
823,CR7,14/15,LaLiga,32,18-04-2015,H,Real Madrid,Malaga CF,3-1,CF,90+2,3-1,Left-footed shot,Chicharito,0,H,Ampliar,90,2nd,Q3 2nd,15
824,Messi,14/15,LaLiga,33,25-04-2015,A,FC Barcelona,RCD Espanyol Barcelona,0-2,RW,25,0-2,Left-footed shot,Luis Suarez,0,A,Ampliar,25,1st,Q2 1st,15
825,Messi,14/15,LaLiga,34,28-04-2015,H,FC Barcelona,Getafe CF,6-0,RW,47,6-0,Left-footed shot,Luis Suarez,0,H,Ampliar,47,2nd,Q1 2nd,15
826,Messi,14/15,LaLiga,34,28-04-2015,H,FC Barcelona,Getafe CF,6-0,RW,9,1-0,Penalty,,0,H,Adelantar,9,1st,Q1 1st,15
827,CR7,14/15,LaLiga,35,02-05-2015,A,Real Madrid,Sevilla FC,2-3,CF,36,0-1,Header,Isco,0,A,Adelantar,36,1st,Q3 1st,15
828,CR7,14/15,LaLiga,35,02-05-2015,A,Real Madrid,Sevilla FC,2-3,CF,37,0-2,Right-footed shot,Chicharito,0,A,Ampliar,37,1st,Q3 1st,15
829,CR7,14/15,LaLiga,35,02-05-2015,A,Real Madrid,Sevilla FC,2-3,CF,69,1-3,Header,Gareth Bale,0,A,Ampliar,69,2nd,Q2 2nd,15
830,Messi,14/15,LaLiga,35,02-05-2015,A,FC Barcelona,CÃ³rdoba CF,0-8,RW,80,0-6,Left-footed shot,Luis Suarez,0,A,Ampliar,80,2nd,Q3 2nd,15
831,Messi,14/15,LaLiga,35,02-05-2015,A,FC Barcelona,CÃ³rdoba CF,0-8,RW,47,0-3,Header,Dani Alves,0,A,Ampliar,47,2nd,Q1 2nd,15
832,CR7,14/15,UEFA Champions League,Semi-Finals,05-05-2015,A,Real Madrid,Juventus FC,2-1,CF,27,1-1,Header,James Rodriguez,0,H,Empatar,27,1st,Q2 1st,15
833,Messi,14/15,UEFA Champions League,Semi-Finals,06-05-2015,H,FC Barcelona,Bayern Munich,3-0,RW,77,1-0,Left-footed shot,Dani Alves,0,H,Adelantar,77,2nd,Q3 2nd,15
834,Messi,14/15,UEFA Champions League,Semi-Finals,06-05-2015,H,FC Barcelona,Bayern Munich,3-0,RW,80,2-0,Right-footed shot,Ivan Rakitic,0,H,Ampliar,80,2nd,Q3 2nd,15
835,CR7,14/15,UEFA Champions League,Semi-Finals,13-05-2015,H,Real Madrid,Juventus FC,1-1,LW,23,1-0,Penalty,,0,D,Adelantar,23,1st,Q2 1st,15
836,CR7,14/15,LaLiga,37,17-05-2015,A,Real Madrid,RCD Espanyol Barcelona,1-4,LW,59,0-1,Left-footed shot,Karim Benzema,0,A,Adelantar,59,2nd,Q1 2nd,15
837,CR7,14/15,LaLiga,37,17-05-2015,A,Real Madrid,RCD Espanyol Barcelona,1-4,LW,83,1-3,Right-footed shot,Chicharito,0,A,Ampliar,83,2nd,Q3 2nd,15
838,CR7,14/15,LaLiga,37,17-05-2015,A,Real Madrid,RCD Espanyol Barcelona,1-4,LW,90+1,1-4,Header,James Rodriguez,0,A,Ampliar,90,2nd,Q3 2nd,15
839,Messi,14/15,LaLiga,37,17-05-2015,A,FC Barcelona,Atletico de Madrid,0-1,RW,65,0-1,Left-footed shot,Pedro,0,A,Adelantar,65,2nd,Q2 2nd,15
840,Messi,14/15,LaLiga,38,23-05-2015,H,FC Barcelona,Deportivo de La Coruaa,2-2,RW,59,2-0,Right-footed shot,Neymar,0,D,Ampliar,59,2nd,Q1 2nd,15
841,CR7,14/15,LaLiga,38,23-05-2015,H,Real Madrid,Getafe CF,7-3,LW,34,3-2,Penalty,,0,H,Adelantar,34,1st,Q3 1st,15
842,CR7,14/15,LaLiga,38,23-05-2015,H,Real Madrid,Getafe CF,7-3,LW,32,2-2,Direct free kick,,0,H,Empatar,32,1st,Q3 1st,15
843,CR7,14/15,LaLiga,38,23-05-2015,H,Real Madrid,Getafe CF,7-3,LW,13,1-0,Header,Marcelo,0,H,Adelantar,13,1st,Q1 1st,15
844,Messi,14/15,LaLiga,38,23-05-2015,H,FC Barcelona,Deportivo de La Coruaa,2-2,RW,5,1-0,Header,Rafinha,0,D,Adelantar,5,1st,Q1 1st,15
845,Messi,14/15,Copa del Rey,Final,30-05-2015,A,FC Barcelona,Athletic Bilbao,1-3,RW,20,0-1,Solo run,,0,A,Adelantar,20,1st,Q2 1st,15
846,Messi,14/15,Copa del Rey,Final,30-05-2015,A,FC Barcelona,Athletic Bilbao,1-3,RW,74,0-3,Left-footed shot,Dani Alves,0,A,Ampliar,74,2nd,Q2 2nd,15
847,Messi,15/16,UEFA Super Cup,Final,11-08-2015,H,FC Barcelona,Sevilla FC,5-4 ,RW,7,1-1,Direct free kick,,1,H,Empatar,7,1st,Q1 1st,16
848,Messi,15/16,UEFA Super Cup,Final,11-08-2015,H,FC Barcelona,Sevilla FC,5-4 ,RW,16,2-1,Direct free kick,,1,H,Adelantar,16,1st,Q2 1st,16
849,Messi,15/16,Supercopa de España,Final,17-08-2015,H,FC Barcelona,Athletic Bilbao,1-1,RW,43,1-0,Left-footed shot,Luis Suarez,0,D,Adelantar,43,1st,Q3 1st,16
850,CR7,15/16,LaLiga,3,12-09-2015,A,Real Madrid,RCD Espanyol Barcelona,0-6,LW,62,0-5,Right-footed shot,Gareth Bale,0,A,Ampliar,62,2nd,Q2 2nd,16
851,CR7,15/16,LaLiga,3,12-09-2015,A,Real Madrid,RCD Espanyol Barcelona,0-6,LW,81,0-6,Right-footed shot,Lucas Vazquez,0,A,Ampliar,81,2nd,Q3 2nd,16
852,CR7,15/16,LaLiga,3,12-09-2015,A,Real Madrid,RCD Espanyol Barcelona,0-6,LW,20,0-3,Left-footed shot,Gareth Bale,0,A,Ampliar,20,1st,Q2 1st,16
853,CR7,15/16,LaLiga,3,12-09-2015,A,Real Madrid,RCD Espanyol Barcelona,0-6,LW,17,0-2,Penalty,,0,A,Ampliar,17,1st,Q2 1st,16
854,CR7,15/16,LaLiga,3,12-09-2015,A,Real Madrid,RCD Espanyol Barcelona,0-6,LW,7,0-1,Right-footed shot,Luka Modric,0,A,Adelantar,7,1st,Q1 1st,16
855,Messi,15/16,LaLiga,3,12-09-2015,A,FC Barcelona,Atletico de Madrid,1-2,RW,77,1-2,Left-footed shot,Luis Suarez,0,A,Adelantar,77,2nd,Q3 2nd,16
856,CR7,15/16,UEFA Champions League,Group Stage,15-09-2015,H,Real Madrid,Shakhtar Donetsk,4-0,LW,64,3-0,Penalty,,0,H,Ampliar,64,2nd,Q2 2nd,16
857,CR7,15/16,UEFA Champions League,Group Stage,15-09-2015,H,Real Madrid,Shakhtar Donetsk,4-0,LW,56,2-0,Penalty,,0,H,Ampliar,56,2nd,Q1 2nd,16
